match_id,match_code,stage_raw,stage,round_name,start_utc,end_utc,date_local,time_local,timezone,city_id,city_name,country,venue_name,stadium_name,home_team_code,home_team_name,away_team_code,away_team_name,currency,cat1,cat2,cat3,cat4,min_price_available,price_band
1,M1,Group Stage Matches,GROUP,Match 1,2026-06-11T13:00:00.000Z,2026-06-11T18:00:00.000Z,2026-06-11,07:00,America/Mexico_City,mexico_city,Mexico City,Mexico,Mexico City Stadium,Estadio Azteca,MEX,Mexico,RSA,South Africa,USD,2355.0,1705.0,1020.0,,1020.0,HIGH
2,M2,Group Stage Matches,GROUP,Match 2,2026-06-11T20:00:00.000Z,2026-06-12T01:00:00.000Z,2026-06-11,14:00,America/Mexico_City,guadalajara,Guadalajara,Mexico,Guadalajara Stadium,Guadalajara Stadium,KOR,Korea Republic,EUROD,European Play-off D,USD,500.0,400.0,180.0,,180.0,LOW
3,M3,Group Stage Matches,GROUP,Match 3,2026-06-12T15:00:00.000Z,2026-06-12T19:00:00.000Z,2026-06-12,11:00,America/Toronto,toronto,Toronto,Canada,Toronto Stadium,BMO Field,CAN,Canada,EUROA,European Play-off A,USD,2170.0,1575.0,930.0,,930.0,HIGH
4,M4,Group Stage Matches,GROUP,Match 4,2026-06-12T18:00:00.000Z,2026-06-13T01:00:00.000Z,2026-06-12,11:00,America/Los_Angeles,los_angeles,Los Angeles,USA,Los Angeles Stadium,SoFi Stadium,USA,USA,PAR,Paraguay,USD,2735.0,1940.0,1120.0,,1120.0,HIGH
5,M5,Group Stage Matches,GROUP,Match 5,2026-06-13T21:00:00.000Z,2026-06-14T01:00:00.000Z,2026-06-13,17:00,America/New_York,boston,Boston,USA,Boston Stadium,Gillette Stadium,HAI,Haiti,SCO,Scotland,USD,500.0,400.0,180.0,,180.0,LOW
6,M6,Group Stage Matches,GROUP,Match 6,2026-06-13T21:00:00.000Z,2026-06-14T04:00:00.000Z,2026-06-13,14:00,America/Vancouver,vancouver,Vancouver,Canada,BC Place Vancouver,BC Place,AUS,Australia,EUROC,European Play-off C,USD,450.0,380.0,140.0,,140.0,LOW
7,M7,Group Stage Matches,GROUP,Match 7,2026-06-13T18:00:00.000Z,2026-06-13T22:00:00.000Z,2026-06-13,14:00,America/New_York,ny_nj,New York / New Jersey,USA,New York/New Jersey Stadium,MetLife Stadium,BRA,Brazil,MAR,Morocco,USD,700.0,500.0,265.0,,265.0,MED
8,M8,Group Stage Matches,GROUP,Match 8,2026-06-13T12:00:00.000Z,2026-06-13T19:00:00.000Z,2026-06-13,05:00,America/Los_Angeles,sf_bay_area,San Francisco Bay Area,USA,San Francisco Bay Area Stadium,Levi's Stadium,QAT,Qatar,SUI,Switzerland,USD,450.0,380.0,140.0,,140.0,LOW
9,M9,Group Stage Matches,GROUP,Match 9,2026-06-14T19:00:00.000Z,2026-06-14T23:00:00.000Z,2026-06-14,15:00,America/New_York,philadelphia,Philadelphia,USA,Philadelphia Stadium,Lincoln Financial Field,CIV,Côte d'Ivoire,ECU,Ecuador,USD,500.0,400.0,180.0,,180.0,LOW
10,M10,Group Stage Matches,GROUP,Match 10,2026-06-14T12:00:00.000Z,2026-06-14T17:00:00.000Z,2026-06-14,07:00,America/Chicago,houston,Houston,USA,Houston Stadium,NRG Stadium,GER,Germany,CUW,Curaçao,USD,500.0,400.0,180.0,,180.0,LOW
11,M11,Group Stage Matches,GROUP,Match 11,2026-06-14T15:00:00.000Z,2026-06-14T20:00:00.000Z,2026-06-14,10:00,America/Chicago,dallas,Dallas,USA,Dallas Stadium,AT&T Stadium,NED,Netherlands,JPN,Japan,USD,600.0,430.0,220.0,,220.0,MED
12,M12,Group Stage Matches,GROUP,Match 12,2026-06-14T20:00:00.000Z,2026-06-15T01:00:00.000Z,2026-06-14,14:00,America/Monterrey,monterrey,Monterrey,Mexico,Monterrey Stadium,Estadio BBVA,EUROB,European Play-off B,TUN,Tunisia,USD,450.0,380.0,140.0,,140.0,LOW
13,M13,Group Stage Matches,GROUP,Match 13,2026-06-15T18:00:00.000Z,2026-06-15T22:00:00.000Z,2026-06-15,14:00,America/New_York,miami,Miami,USA,Miami Stadium,Hard Rock Stadium,KSA,Saudi Arabia,URU,Uruguay,USD,600.0,430.0,220.0,,220.0,MED
14,M14,Group Stage Matches,GROUP,Match 14,2026-06-15T12:00:00.000Z,2026-06-15T16:00:00.000Z,2026-06-15,08:00,America/New_York,atlanta,Atlanta,USA,Atlanta Stadium,Mercedes-Benz Stadium,ESP,Spain,CPV,Cabo Verde,USD,500.0,400.0,180.0,,180.0,LOW
15,M15,Group Stage Matches,GROUP,Match 15,2026-06-15T18:00:00.000Z,2026-06-16T01:00:00.000Z,2026-06-15,11:00,America/Los_Angeles,los_angeles,Los Angeles,USA,Los Angeles Stadium,SoFi Stadium,IRN,IR Iran,NZL,New Zealand,USD,450.0,380.0,140.0,,140.0,LOW
16,M16,Group Stage Matches,GROUP,Match 16,2026-06-15T12:00:00.000Z,2026-06-15T19:00:00.000Z,2026-06-15,05:00,America/Los_Angeles,seattle,Seattle,USA,Seattle Stadium,Lumen Field,BEL,Belgium,EGY,Egypt,USD,500.0,400.0,180.0,,180.0,LOW
17,M17,Group Stage Matches,GROUP,Match 17,2026-06-16T15:00:00.000Z,2026-06-16T19:00:00.000Z,2026-06-16,11:00,America/New_York,ny_nj,New York / New Jersey,USA,New York/New Jersey Stadium,MetLife Stadium,FRA,France,SEN,Senegal,USD,620.0,465.0,220.0,,220.0,MED
18,M18,Group Stage Matches,GROUP,Match 18,2026-06-16T18:00:00.000Z,2026-06-16T22:00:00.000Z,2026-06-16,14:00,America/New_York,boston,Boston,USA,Boston Stadium,Gillette Stadium,FIFA2,FIFA Play-off 2,NOR,Norway,USD,500.0,400.0,180.0,,180.0,LOW
19,M19,Group Stage Matches,GROUP,Match 19,2026-06-16T20:00:00.000Z,2026-06-17T01:00:00.000Z,2026-06-16,15:00,America/Chicago,kansas_city,Kansas City,USA,Kansas City Stadium,Arrowhead Stadium,ARG,Argentina,ALG,Algeria,USD,700.0,500.0,265.0,,265.0,MED
20,M20,Group Stage Matches,GROUP,Match 20,2026-06-16T21:00:00.000Z,2026-06-17T04:00:00.000Z,2026-06-16,14:00,America/Los_Angeles,sf_bay_area,San Francisco Bay Area,USA,San Francisco Bay Area Stadium,Levi's Stadium,AUT,Austria,JOR,Jordan,USD,450.0,380.0,140.0,,140.0,LOW
21,M21,Group Stage Matches,GROUP,Match 21,2026-06-17T19:00:00.000Z,2026-06-17T23:00:00.000Z,2026-06-17,15:00,America/Toronto,toronto,Toronto,Canada,Toronto Stadium,BMO Field,GHA,Ghana,PAN,Panama,USD,450.0,380.0,140.0,,140.0,LOW
22,M22,Group Stage Matches,GROUP,Match 22,2026-06-17T15:00:00.000Z,2026-06-17T20:00:00.000Z,2026-06-17,10:00,America/Chicago,dallas,Dallas,USA,Dallas Stadium,AT&T Stadium,ENG,England,CRO,Croatia,USD,700.0,500.0,265.0,,265.0,MED
23,M23,Group Stage Matches,GROUP,Match 23,2026-06-17T12:00:00.000Z,2026-06-17T17:00:00.000Z,2026-06-17,07:00,America/Chicago,houston,Houston,USA,Houston Stadium,NRG Stadium,POR,Portugal,FIFA1,FIFA Play-off 1,USD,700.0,500.0,265.0,,265.0,MED
24,M24,Group Stage Matches,GROUP,Match 24,2026-06-17T20:00:00.000Z,2026-06-18T01:00:00.000Z,2026-06-17,14:00,America/Mexico_City,mexico_city,Mexico City,Mexico,Mexico City Stadium,Estadio Azteca,UZB,Uzbekistan,COL,Colombia,USD,600.0,430.0,220.0,,220.0,MED
25,M25,Group Stage Matches,GROUP,Match 25,2026-06-18T12:00:00.000Z,2026-06-18T16:00:00.000Z,2026-06-18,08:00,America/New_York,atlanta,Atlanta,USA,Atlanta Stadium,Mercedes-Benz Stadium,EUROD,European Play-off D,RSA,South Africa,USD,450.0,380.0,140.0,,140.0,LOW
26,M26,Group Stage Matches,GROUP,Match 26,2026-06-18T12:00:00.000Z,2026-06-18T19:00:00.000Z,2026-06-18,05:00,America/Los_Angeles,los_angeles,Los Angeles,USA,Los Angeles Stadium,SoFi Stadium,SUI,Switzerland,EUROA,European Play-off A,USD,500.0,400.0,180.0,,180.0,LOW
27,M27,Group Stage Matches,GROUP,Match 27,2026-06-18T15:00:00.000Z,2026-06-18T22:00:00.000Z,2026-06-18,08:00,America/Vancouver,vancouver,Vancouver,Canada,BC Place Vancouver,BC Place,CAN,Canada,QAT,Qatar,USD,700.0,500.0,265.0,,265.0,MED
28,M28,Group Stage Matches,GROUP,Match 28,2026-06-18T19:00:00.000Z,2026-06-19T00:00:00.000Z,2026-06-18,13:00,America/Mexico_City,guadalajara,Guadalajara,Mexico,Guadalajara Stadium,Guadalajara Stadium,MEX,Mexico,KOR,Korea Republic,USD,700.0,500.0,265.0,,265.0,MED
29,M29,Group Stage Matches,GROUP,Match 29,2026-06-19T21:00:00.000Z,2026-06-20T01:00:00.000Z,2026-06-19,17:00,America/New_York,philadelphia,Philadelphia,USA,Philadelphia Stadium,Lincoln Financial Field,BRA,Brazil,HAI,Haiti,USD,700.0,500.0,265.0,,265.0,MED
30,M30,Group Stage Matches,GROUP,Match 30,2026-06-19T18:00:00.000Z,2026-06-19T22:00:00.000Z,2026-06-19,14:00,America/New_York,boston,Boston,USA,Boston Stadium,Gillette Stadium,SCO,Scotland,MAR,Morocco,USD,600.0,430.0,220.0,,220.0,MED
31,M31,Group Stage Matches,GROUP,Match 31,2026-06-19T21:00:00.000Z,2026-06-20T04:00:00.000Z,2026-06-19,14:00,America/Los_Angeles,sf_bay_area,San Francisco Bay Area,USA,San Francisco Bay Area Stadium,Levi's Stadium,EUROC,European Play-off C,PAR,Paraguay,USD,450.0,380.0,140.0,,140.0,LOW
32,M32,Group Stage Matches,GROUP,Match 32,2026-06-19T12:00:00.000Z,2026-06-19T19:00:00.000Z,2026-06-19,05:00,America/Los_Angeles,seattle,Seattle,USA,Seattle Stadium,Lumen Field,USA,USA,AUS,Australia,USD,700.0,500.0,265.0,,265.0,MED
33,M33,Group Stage Matches,GROUP,Match 33,2026-06-20T16:00:00.000Z,2026-06-20T20:00:00.000Z,2026-06-20,12:00,America/Toronto,toronto,Toronto,Canada,Toronto Stadium,BMO Field,GER,Germany,CIV,Côte d'Ivoire,USD,600.0,430.0,220.0,,220.0,MED
